10.2945	Seq: 1	ACK: 387001	time: 10277	echo: 10204 -> SACK List: 433501 to 453001; 402001 to 432001; 396001 to 399001; 
10.295	Seq: 1	ACK: 387001	time: 10277	echo: 10204 -> SACK List: 433501 to 454501; 402001 to 432001; 396001 to 399001; 
10.2955	Seq: 1	ACK: 387001	time: 10278	echo: 10204 -> SACK List: 433501 to 456001; 402001 to 432001; 396001 to 399001; 
10.2961	Seq: 1	ACK: 387001	time: 10279	echo: 10204 -> SACK List: 433501 to 457501; 402001 to 432001; 396001 to 399001; 
10.2966	Seq: 1	ACK: 387001	time: 10279	echo: 10204 -> SACK List: 433501 to 459001; 402001 to 432001; 396001 to 399001; 
10.2971	Seq: 1	ACK: 387001	time: 10280	echo: 10204 -> SACK List: 433501 to 460501; 402001 to 432001; 396001 to 399001; 
10.2976	Seq: 1	ACK: 387001	time: 10280	echo: 10204 -> SACK List: 433501 to 462001; 402001 to 432001; 396001 to 399001; 
10.2982	Seq: 1	ACK: 387001	time: 10281	echo: 10204 -> SACK List: 433501 to 463501; 402001 to 432001; 396001 to 399001; 
10.2987	Seq: 1	ACK: 387001	time: 10281	echo: 10204 -> SACK List: 465001 to 466501; 433501 to 463501; 402001 to 432001; 
10.2992	Seq: 1	ACK: 387001	time: 10282	echo: 10204 -> SACK List: 465001 to 468001; 433501 to 463501; 402001 to 432001; 
10.2997	Seq: 1	ACK: 387001	time: 10282	echo: 10204 -> SACK List: 465001 to 469501; 433501 to 463501; 402001 to 432001; 
10.3003	Seq: 1	ACK: 387001	time: 10283	echo: 10204 -> SACK List: 465001 to 471001; 433501 to 463501; 402001 to 432001; 
10.3008	Seq: 1	ACK: 387001	time: 10283	echo: 10204 -> SACK List: 465001 to 472501; 433501 to 463501; 402001 to 432001; 
10.3013	Seq: 1	ACK: 387001	time: 10284	echo: 10204 -> SACK List: 465001 to 474001; 433501 to 463501; 402001 to 432001; 
10.3018	Seq: 1	ACK: 387001	time: 10284	echo: 10204 -> SACK List: 465001 to 475501; 433501 to 463501; 402001 to 432001; 
10.3024	Seq: 1	ACK: 387001	time: 10285	echo: 10204 -> SACK List: 465001 to 477001; 433501 to 463501; 402001 to 432001; 
